"","qb","att","cmp","yds","ypa","td","int","sack","loss","game_points","experience","Ht","Wt","Forty","Vertical","BroadJump","Cone","Shuttle","Year","AV","Round"
"96","Paxton Lynch",83,49,497,5.98795180722892,2,1,9,42,63,0,79,244,4.86,36,118,7.14,4.26,2016,2,1
"98","Rex Grossman",600,342,4068,6.78,23,25,34,278,364,8,73,217,5.06,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2003,3,1
"99","Russell Wilson",2281,1476,18193,7.97588776852258,127,45,205,1275,2000,4,71,204,4.53,34,118,6.97,4.09,2012,51,3
"100","Ryan Fitzpatrick",3369,2018,23206,6.88809735826655,154,116,177,948,2331,11,74,232,4.86,30.5,105,7.09,4.07,2005,3,7
"101","Ryan Lindley",274,140,1372,5.00729927007299,3,11,18,137,158,3,76,229,4.86,29.5,108,7.52,4.45,2012,-4,6
"102","Ryan Mallett",329,181,1779,5.40729483282675,7,10,7,37,325,5,79,253,5.37,24,103,7.11139784946237,4.3052688172043,2011,4,3
"103","Ryan Nassib",10,9,128,12.8,1,0,2,11,17,2,74,227,5.06,28.5,105,7.34,4.53,2013,0,4
"105","Sam Bradford",2844,1773,18667,6.56364275668073,98,57,185,1298,1507,6,76,236,4.79,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2010,21,1
"106","Scott Tolzien",128,79,937,7.3203125,2,7,7,55,108,5,74,212,4.92,29.5,116,6.84,4.12,2011,2,8
"107","Sean Mannion",13,9,50,3.84615384615385,0,1,0,0,13,1,78,229,5.14,31,105,7.29,4.39,2015,1,3
"109","Seneca Wallace",352,213,2100,5.96590909090909,9,7,25,147,306,10,71,196,4.56,38,127,6.98,4.14,2003,5,4
"110","Stephen McGee",82,46,420,5.1219512195122,3,0,6,50,47,2,75,225,4.61,33,112,7.34,4.49,2009,2,4
"111","Tarvaris Jackson",549,334,3821,6.95992714025501,19,17,49,342,835,9,74,226,4.69,31.5,107,7.4,4.38,2006,11,2
"112","Teddy Bridgewater",849,551,6150,7.24381625441696,28,21,83,556,639,1,74,214,4.82128712871287,30,113,7.17,4.2,2014,22,1
"114","Tim Tebow",361,173,2422,6.70914127423823,17,9,41,258,471,2,75,236,4.71,38.5,115,6.66,4.17,2010,12,1
"115","Tom Brady",4571,2943,35136,7.68672063005907,259,66,214,1318,3752,16,76,211,5.28,24.5,99,7.2,4.38,2000,25,6
"116","Tom Brandstater",2,0,0,0,0,0,0,0,27,2,77,220,4.87,28.5,106,6.93,4.37,2009,0,6
"117","Tom Savage",92,56,588,6.39130434782609,0,1,6,41,60,2,76,228,4.97,27,105,7.33,4.36,2014,4,4
"118","Tony Pike",12,6,47,3.91666666666667,0,0,1,10,3,0,78,223,4.9,28.5,108,7.06,4.53,2010,0,6
"119","Tony Romo",2979,1974,23390,7.85162806310843,163,68,181,1235,2149,13,74,230,5.01,30,105,7.11,4.2,2003,12,8
"120","Trent Edwards",286,167,1704,5.95804195804196,8,12,34,234,164,5,76,231,4.76,31.6075268817204,110.94623655914,7.14,4.46,2007,16,3
"122","Troy Smith",154,78,1200,7.79220779220779,5,5,18,112,220,3,72,225,4.72,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2007,2,5
"123","Tyler Palko",140,84,831,5.93571428571429,2,7,13,93,55,4,73,215,4.83,31.5,112,7.05,4.36,2007,2,8
"124","Tyrod Taylor",851,530,6257,7.35252643948296,37,14,83,437,872,5,73,217,4.47,37.5,126,6.78,4.09,2011,1,6
"126","Zach Mettenberger",345,208,2347,6.80289855072464,12,14,31,236,185,1,77,224,4.82128712871287,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2014,1,6
