"","qb","att","cmp","yds","ypa","td","int","sack","loss","game_points","experience","Ht","Wt","Forty","Vertical","BroadJump","Cone","Shuttle","Year","AV","Round"
"58","Jay Cutler",297.363636363636,183.636363636364,2131.18181818182,7.16692143075512,14,9.90909090909091,22.8181818181818,143.090909090909,208.818181818182,11,75,226,4.77,31.6075268817204,110.94623655914,7.1,4.26,2006,30,1
"60","Jimmy Garoppolo",31.3333333333333,21,230,7.34042553191489,1.66666666666667,0,2.66666666666667,17,96,3,74,226,4.97,30.5,110,7.04,4.26,2014,3,2
"61","Joe Flacco",475.111111111111,293.111111111111,3271.77777777778,6.88634237605239,18.6666666666667,11.6666666666667,28.5555555555556,199.222222222222,311.555555555556,9,78,236,4.84,28.5,110,6.82,4.27,2008,36,1
"62","John Beck",26.4,16,171.6,6.5,0.4,0.8,3.2,16.8,8.8,5,74,215,4.75,29.5,111,6.81,4.17,2007,4,2
"63","John Skelton",200.666666666667,106.666666666667,1235.66666666667,6.1578073089701,5,8.33333333333333,15.6666666666667,108.333333333333,111.333333333333,3,77,243,4.85,33.5,108,7.17,4.33,2010,4,5
"64","Johnny Manziel",129,73.5,837.5,6.4922480620155,3.5,3.5,11,83.5,91,2,72,207,4.68,31.5,113,6.75,4.03,2014,5,1
"65","Jordan Palmer",0.75,0.5,3.125,4.16666666666667,0,0,0.25,2.5,5.125,8,78,231,4.98,30.5,104,7.32,4.58,2007,0,6
"66","Josh Freeman",292.571428571429,168.428571428571,1981.85714285714,6.77392578125,11.5714285714286,9.71428571428571,16,98.5714285714286,174.857142857143,7,78,248,4.9,33.5,119,7.11,4.43,2009,24,1
"67","Josh Johnson",35.4,19.2,208.4,5.88700564971751,1,2,3.4,19.8,50.4,5,75,213,4.53,33.5,110,7.56,4.42,2008,4,5
"68","Josh McCown",68.8666666666667,41.2,487.466666666667,7.0784123910939,2.66666666666667,1.93333333333333,6.33333333333333,38.4666666666667,42.6,15,76,221,4.59,38.5,120,6.85,3.9,2002,10,3
"70","Kellen Moore",26,15.25,194.75,7.49038461538461,1,1.5,1.25,5.75,11.25,4,72,197,4.82,27,99,7.41,4.56,2012,2,8
"71","Kevin Hogan",26,14,104,4,0,2,2,10,45,1,75,218,4.78,32.5,113,6.9,4.31,2016,2,5
"72","Kevin Kolb",120.166666666667,72,843.666666666667,7.02080443828017,4.66666666666667,3.5,12.5,84,84.8333333333333,6,75,218,4.85,32.5,112,6.94,4.44,2007,2,2
"73","Kirk Cousins",311.2,205,2422.6,7.78470437017995,14.4,8.4,13,101,220.2,5,75,214,4.84,28.5,109,7.05,4.5,2012,4,4
"74","Kyle Boller",23.1111111111111,12.7777777777778,120.555555555556,5.21634615384615,0.333333333333333,1.11111111111111,2.33333333333333,15.7777777777778,17.2222222222222,9,75,234,4.61,35.5,117,7.2,4.02,2003,13,1
"75","Kyle Orton",179.4,110.5,1267.8,7.06688963210702,7.1,4.2,10.6,65.4,105.3,10,76,233,5.06,26.5,110.94623655914,7.38,4.52,2005,12,4
"76","Landry Jones",35.25,21.25,267.75,7.59574468085106,1.75,1.5,1.5,12.75,55.5,4,76,225,5.11,31,115,7.12,4.3,2013,1,4
"77","Levi Brown",3,2,24,8,0,1,0,0,7,1,75,229,4.93,31.5,106,7.07,4.43,2010,0,7
"78","Logan Thomas",9,1,81,9,1,0,2,11,26,1,78,248,4.61,35.5,118,7.05,4.18,2014,1,4
